simulation_id,tenant_id,envio_data,k_clusters,custo_total,quantidade_entregas,data_processamento,custo_transferencia,custo_last_mile,is_ponto_otimo,custo_cluster,created_at
67adb7d8-46a1-4f32-86a5-a15db73306a6,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,8,4760.16,30,2025-09-07 19:16:17.024179,2897.98,1062.18,f,800.0,2025-09-07 19:16:17.024179
67adb7d8-46a1-4f32-86a5-a15db73306a6,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,7,4017.37,30,2025-09-07 19:15:42.480298,2175.54,1141.83,f,700.0,2025-09-07 19:15:42.480298
67adb7d8-46a1-4f32-86a5-a15db73306a6,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,6,4059.8599999999997,30,2025-09-07 19:15:57.737919,2150.33,1309.53,f,600.0,2025-09-07 19:15:57.737919
67adb7d8-46a1-4f32-86a5-a15db73306a6,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,5,4058.45,30,2025-09-07 19:16:29.46236,2057.43,1501.02,f,500.0,2025-09-07 19:16:29.46236
67adb7d8-46a1-4f32-86a5-a15db73306a6,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-05,1,2481.0,30,2025-09-07 19:16:31.758619,0.0,2361.0,t,120.0,2025-09-07 19:16:31.758619
895d2abd-23a4-4045-bdd1-11d6a7e4827f,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,13,19711.09,352,2025-09-07 19:22:03.917226,6029.45,12049.64,f,1632.0,2025-09-07 19:22:03.917226
895d2abd-23a4-4045-bdd1-11d6a7e4827f,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,12,20253.57,352,2025-09-07 19:21:10.309273,6705.16,11980.41,f,1568.0,2025-09-07 19:21:10.309273
895d2abd-23a4-4045-bdd1-11d6a7e4827f,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,11,20021.690000000002,352,2025-09-07 19:20:18.45546,6261.92,12251.77,f,1508.0,2025-09-07 19:20:18.45546
895d2abd-23a4-4045-bdd1-11d6a7e4827f,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,10,18376.15,352,2025-09-07 19:19:27.052404,5548.89,11363.26,f,1464.0,2025-09-07 19:19:27.052404
895d2abd-23a4-4045-bdd1-11d6a7e4827f,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2025-09-04,9,18286.8,352,2025-09-07 19:18:36.478879,5050.24,11772.56,f,1464.0,2025-09-07 19:18:36.478879
