id,cte_numero,remetente_cnpj,cte_rua,cte_bairro,cte_complemento,cte_cidade,cte_uf,cte_cep,cte_nf,cte_volumes,cte_peso,cte_valor_nf,cte_valor_frete,envio_data,endereco_completo,transportadora,remetente_nome,destinatario_nome,destinatario_cnpj,destino_latitude,destino_longitude,remetente_cidade,remetente_uf,doc_min,data_processamento,tenant_id,cte_numero_endereco,cte_tempo_atendimento_min,cte_prazo_min,geocode_source
674285,23148-120,77.863.223/0246-34,RUA JOAO JOSE DE QUEIROZ, VILA SAO FRANCISCO,, Sao Paulo,SP,,23148-120,9,108.42,1377.26,72.64,2026-04-01,"RUA JOAO JOSE DE QUEIROZ, VILA SAO FRANCISCO, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,CENTER CARNES NAJIM AGUIAR LTDA,77.863.223/0246-34,-23.5203922,-46.4884217,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674278,23149-120,77.863.223/0246-34,AVENIDA VITAL BRASIL, BUTANTA,, Sao Paulo,SP,,23149-120,19,300.94,3970.8,201.63,2026-04-01,"AVENIDA VITAL BRASIL, BUTANTA, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,CENTRO DE DISTRIBUICAO BUTANTA LTDA,77.863.223/0246-34,-23.5705675,-46.710517,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,20,600,cache
674263,23150-120,77.863.223/0246-34,RUA JUPARA, VILA AEROPORTO,, Campinas,SP,,23150-120,140,2625.84,33012.0,2678.36,2026-04-01,"RUA JUPARA, VILA AEROPORTO, Campinas - SP",FRIOZEM - JANDIRA,C-VALE,SUPER SETE SUPERMERCADO LTDA,77.863.223/0246-34,-22.9745717,-47.1292381,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674274,23151-120,77.863.223/0246-34,RUA LISA ANSORGE, JARDIM GUAIRACA,, Sao Paulo,SP,,23151-120,8,150.5,2610.0,100.83,2026-04-01,"RUA LISA ANSORGE, JARDIM GUAIRACA, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,CASA DE CARNES VERA CRUZ LTDA,77.863.223/0246-34,-23.603853,-46.5379881,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674280,23152-120,77.863.223/0246-34,AVENIDA LINS DE VASCONCELOS, VILA MARIANA,, Sao Paulo,SP,,23152-120,23,394.56,5117.52,264.35,2026-04-01,"AVENIDA LINS DE VASCONCELOS, VILA MARIANA, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,CHIBRAS SUPERMERCADO LTDA - EPP,77.863.223/0246-34,-23.582811,-46.627526,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674275,23153-120,77.863.223/0246-34,RUA VISCONDE DE INHAUMA, OSWALDO CRUZ,, Sao Caetano do Sul,SP,,23153-120,14,244.42,2943.9,163.76,2026-04-01,"RUA VISCONDE DE INHAUMA, OSWALDO CRUZ, Sao Caetano do Sul - SP",FRIOZEM - JANDIRA,C-VALE,MARCELO RODRIGUES CAMACHO,77.863.223/0246-34,-23.6324742,-46.5651154,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674235,23154-120,77.863.223/0246-34,AVENIDA VINICIUS DE MORAES, VILA SAO PAULO,, Ferraz de Vasconcelos,SP,8506200.0,23154-120,7,112.46,1102.5,75.34,2026-04-01,"AVENIDA VINICIUS DE MORAES, VILA SAO PAULO, Ferraz de Vasconcelos - SP",FRIOZEM - JANDIRA,C-VALE,MERCADO E ACOUGUE SOBERANO LTDA,77.863.223/0246-34,-23.5575784,-46.3693418,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674283,23155-120,77.863.223/0246-34,RUA SAO GONCALO DO ABAETE, JARDIM ELIZA MARIA,, Sao Paulo,SP,,23155-120,40,750.24,8694.0,502.66,2026-04-01,"RUA SAO GONCALO DO ABAETE, JARDIM ELIZA MARIA, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,A.R.PRIMO COMERCIO DE ALIMENTOS LTD,77.863.223/0246-34,-23.4623132,-46.6790213,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674282,23156-120,77.863.223/0246-34,RUA ROSALIO JOSE DA CONCEICAO, PIRITUBA,, Sao Paulo,SP,,23156-120,10,136.25,2140.44,91.29,2026-04-01,"RUA ROSALIO JOSE DA CONCEICAO, PIRITUBA, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,C.C.P. COMERCIO DE CARNES LTDA,77.863.223/0246-34,-23.4970686,-46.7257363,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674267,23157-120,77.863.223/0246-34,AVENIDA CAETANO BARRELLA, JARDIM DA GLORIA,, Taboao da Serra,SP,,23157-120,6,112.54,972.0,75.4,2026-04-01,"AVENIDA CAETANO BARRELLA, JARDIM DA GLORIA, Taboao da Serra - SP",FRIOZEM - JANDIRA,C-VALE,WEST BOI - CARNES  DERIVADOS LTDA,77.863.223/0246-34,-23.608893,-46.7556731,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674268,23158-120,77.863.223/0246-34,ESTRADA DO CAMPO LIMPO, CAMPO LIMPO,, Sao Paulo,SP,,23158-120,12,225.07,1944.0,150.8,2026-04-01,"ESTRADA DO CAMPO LIMPO, CAMPO LIMPO, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,WEST BOI - CARNES  DERIVADOS LTDA,77.863.223/0246-34,-23.6279294,-46.7672601,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,20,600,cache
674281,23159-120,77.863.223/0246-34,RUA FRANCISCO TAPAJOS, VL. STO ESTEFANO,, Sao Paulo,SP,,23159-120,7,124.01,1084.5,83.09,2026-04-01,"RUA FRANCISCO TAPAJOS, VL. STO ESTEFANO, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,CASA DE CARNES E RESTAURANTE TAPAJO LTDA - EPP,77.863.223/0246-34,-23.6262635,-46.6242355,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674270,23160-120,77.863.223/0246-34,JOAO FERNANDES CAMIS, JARDIM SAO LUIS,, Sao Paulo,SP,,23160-120,6,112.54,972.0,75.4,2026-04-01,"JOAO FERNANDES CAMIS, JARDIM SAO LUIS, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,WEST BOI - CARNES  DERIVADOS LTDA,77.863.223/0246-34,-23.6533995,-46.7413136,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674279,23161-120,77.863.223/0246-34,CONCEICAO VELOSO, VILA MARIANA,, Sao Paulo,SP,,23161-120,14,247.3,3205.8,165.69,2026-04-01,"CONCEICAO VELOSO, VILA MARIANA, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,VELOSO BAR LTDA - ME,77.863.223/0246-34,-23.584856,-46.6349608,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674257,23162-120,77.863.223/0246-34,RUA SALDANHA MARINHO, JARDIM AMANDA,, Hortolandia,SP,,23162-120,6,112.54,1436.4,114.79,2026-04-01,"RUA SALDANHA MARINHO, JARDIM AMANDA, Hortolandia - SP",FRIOZEM - JANDIRA,C-VALE,J L OLIVEIRA SOUZA ACOUGUE,77.863.223/0246-34,-22.9028441,-47.2421245,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674157,23163-120,77.863.223/0246-34,AVENIDA MOINHO FABRINI, JARDIM FENIX,, Sao Bernardo do Campo,SP,9861160.0,23163-120,12,225.07,2894.4,150.8,2026-04-01,"AVENIDA MOINHO FABRINI, JARDIM FENIX, Sao Bernardo do Campo - SP",FRIOZEM - JANDIRA,C-VALE,CASA DE CARNES REI DO LACO LTDA,77.863.223/0246-34,-23.6971202,-46.5814908,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
674273,23164-120,77.863.223/0246-34,AVENIDA INCONFIDENCIA MINEIRA, VILA RICA,, Sao Paulo,SP,,23164-120,14,192.15,2723.94,128.74,2026-04-01,"AVENIDA INCONFIDENCIA MINEIRA, VILA RICA, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,R A SENA ACOUGUE  ROTISSERIA,77.863.223/0246-34,-23.5760147,-46.5154111,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,20,600,cache
674255,23165-120,77.863.223/0246-34,AVENIDA NOVE DE JULHO, SAO DOMINGOS,, Americana,SP,,23165-120,8,150.17,2098.8,153.18,2026-04-01,"AVENIDA NOVE DE JULHO, SAO DOMINGOS, Americana - SP",FRIOZEM - JANDIRA,C-VALE,JL CARNES ESPECIAIS LTDA,77.863.223/0246-34,-22.7339053,-47.3388434,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,30,600,cache
674284,23166-120,77.863.223/0246-34,RUA FRANCISCO FANGANIELO, PARQUE NOVO MUNDO,, Sao Paulo,SP,,23166-120,20,330.05,4616.4,221.13,2026-04-01,"RUA FRANCISCO FANGANIELO, PARQUE NOVO MUNDO, Sao Paulo - SP",FRIOZEM - JANDIRA,C-VALE,REFINE ALIMENTOS NUTRITIVOS LTDA,77.863.223/0246-34,-23.5192319,-46.562077,JANDIRA,SP,,2026-04-10 16:14:40.651723,59919562-0160-4eee-95ac-8f2df3c6b043,,60,600,cache
