simulation_id,tenant_id,envio_data,k_clusters,custo_total,quantidade_entregas,data_processamento,custo_transferencia,custo_last_mile,is_ponto_otimo,custo_cluster,created_at
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,1,4951.84,67,2025-08-18 13:27:12.264557,0.0,4683.84,f,268.0,2025-08-18 13:27:12.264557
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,2,3951.59,64,2025-08-18 13:29:54.579426,707.84,2887.75,f,356.0,2025-08-18 13:29:54.579426
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,3,3951.59,64,2025-08-18 13:29:18.902913,707.84,2887.75,f,356.0,2025-08-18 13:29:18.902913
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,4,3952.1,64,2025-08-18 13:28:43.542259,707.92,2888.18,f,356.0,2025-08-18 13:28:43.542259
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,5,3951.59,64,2025-08-18 13:30:29.63295,707.84,2887.75,t,356.0,2025-08-18 13:30:29.63295
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,6,3952.1,64,2025-08-18 13:27:41.214454,707.92,2888.18,f,356.0,2025-08-18 13:27:41.214454
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,7,5484.9400000000005,64,2025-08-18 13:27:29.378822,2465.77,2219.17,f,800.0,2025-08-18 13:27:29.378822
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,8,6243.96,64,2025-08-18 13:28:01.703813,3206.12,2137.84,f,900.0,2025-08-18 13:28:01.703813
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,9,6256.27,64,2025-08-18 13:28:34.124239,3132.59,2123.68,f,1000.0,2025-08-18 13:28:34.124239
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,10,6196.639999999999,64,2025-08-18 13:29:09.848529,3042.95,2053.69,f,1100.0,2025-08-18 13:29:09.848529
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,11,5900.83,64,2025-08-18 13:29:46.632654,2739.23,1961.6,f,1200.0,2025-08-18 13:29:46.632654
83932377-5c0f-4c01-a245-c7c95dabd6e0,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-01,12,6094.79,64,2025-08-18 13:30:26.180481,2933.39,1861.4,f,1300.0,2025-08-18 13:30:26.180481
68b5d0f6-1a29-438b-8a61-a045ca52d87b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-02,7,72177.02,1411,2025-08-18 13:44:10.109513,14402.31,51290.71,f,6484.0,2025-08-18 13:44:10.109513
68b5d0f6-1a29-438b-8a61-a045ca52d87b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-02,10,73194.56,1411,2025-08-18 13:36:50.716213,16986.91,49723.65,f,6484.0,2025-08-18 13:36:50.716213
68b5d0f6-1a29-438b-8a61-a045ca52d87b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-02,11,72730.89,1411,2025-08-18 13:34:17.414762,16722.23,49524.66,f,6484.0,2025-08-18 13:34:17.414762
68b5d0f6-1a29-438b-8a61-a045ca52d87b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-02,12,71932.23000000001,1411,2025-08-18 13:45:59.484473,16664.25,48783.98,t,6484.0,2025-08-18 13:45:59.484473
68b5d0f6-1a29-438b-8a61-a045ca52d87b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-02,13,76327.56,1411,2025-08-18 13:35:37.774182,20629.87,49213.69,f,6484.0,2025-08-18 13:35:37.774182
68b5d0f6-1a29-438b-8a61-a045ca52d87b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-02,14,74729.08,1411,2025-08-18 13:38:08.608953,19456.3,48788.78,f,6484.0,2025-08-18 13:38:08.608953
68b5d0f6-1a29-438b-8a61-a045ca52d87b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-02,15,73043.35,1411,2025-08-18 13:40:37.238928,18271.32,48288.03,f,6484.0,2025-08-18 13:40:37.238928
68b5d0f6-1a29-438b-8a61-a045ca52d87b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-02,16,73167.59,1411,2025-08-18 13:42:56.434398,17466.85,49216.74,f,6484.0,2025-08-18 13:42:56.434398
68b5d0f6-1a29-438b-8a61-a045ca52d87b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-02,17,74795.19,1411,2025-08-18 13:45:41.610734,19167.58,49143.61,f,6484.0,2025-08-18 13:45:41.610734
02cc5d42-db99-4333-b19a-7db17c5a787b,38ed0dcc-a92b-4c07-85e7-b59e5939b84c,2024-08-05,1,54930.02,1173,2025-08-18 13:46:16.832198,0.0,50238.02,f,4692.0,2025-08-18 13:46:16.832198
